question,answer,answer_type
is the no.3 athlete playing indoor,yes,3
how many judges are there,1,7
is the no.3 player outdoors,no,3
what is the no.3 player doing,match,0
what color is the hair of the no.3 player,black,4
what is in front of the no.3 player,network,1
what kind of competition is going on in the video,volleyball,8
what is the gender of the no.3 player,male,8
what happened to the number 3 athlete after receiving the ball,beat ball out,2
what is the man doing standing on the ladder,referee,8
